dominio,grupo,plataforma,esp,estado,es_tienda,necesita_html,evidencia,nota
freshlycosmetics.com,1,,mailchimp,sin confirmar (pasa a HTML),0,1,DKIM k1._domainkey -> dkim.mcsv.net,
twothirds.com,1,,mailchimp,sin confirmar (pasa a HTML),0,1,DKIM k1._domainkey -> dkim.mcsv.net,
bluebananabrand.com,2,shopify,sendgrid,shopify confirmado,1,0,DKIM s1._domainkey -> s1.domainkey.u41100264.wl015.sendgrid.net,"sendgrid es transaccional, no dice nada del marketing"
gobik.com,2,shopify,,shopify confirmado,1,0,,
singularu.com,2,shopify,sendgrid,shopify confirmado,1,0,DKIM s1._domainkey -> s1.domainkey.u161779.wl030.sendgrid.net,"sendgrid es transaccional, no dice nada del marketing"
alohas.io,3,shopify,klaviyo,shopify confirmado,1,0,TXT raíz: klaviyo-site-verification=LLACbJ,
komvida.com,3,shopify,klaviyo,shopify confirmado,1,0,TXT raíz: klaviyo-site-verification=UELyyV,
laconicum.com,3,shopify,klaviyo,shopify confirmado,1,0,TXT raíz: klaviyo-site-verification=JZazB8,
scuffers.com,3,shopify,klaviyo,shopify confirmado,1,0,TXT raíz: klaviyo-site-verification=VgMQZ7,
sepiia.com,3,shopify,klaviyo,shopify confirmado,1,0,TXT raíz: klaviyo-site-verification=WBq2uR,
